hour_of_day,revenue,orders,avg_ticket
6,149.4,5,29.880000000000003
7,2846.02,88,32.341136363636366
8,7017.88,235,29.86331914893617
9,7264.28,242,30.017685950413224
10,10198.52,328,31.093048780487806
11,8453.1,283,29.869611307420495
12,7419.62,241,30.786804979253112
13,7028.76,225,31.238933333333335
14,7173.8,225,31.883555555555557
15,7476.0199999999995,236,31.678050847457627
16,9031.84,278,32.48863309352518
17,7659.76,237,32.319662447257386
18,7162.599999999999,218,32.85596330275229
19,7751.96,229,33.851353711790395
20,5578.92,169,33.01136094674556
21,6397.94,195,32.809948717948714
22,3635.16,113,32.169557522123895
