rank,client_id,revenue,orders,products,active_months,share_pct,cum_share_pct
1,7158.0,2035274.0,19,66,8,12.081446838372656,12.081446838372656
2,7134.0,1479166.0,13,41,8,8.780373253983655,20.86182009235631
3,7161.0,1421475.0,13,39,6,8.437917766637696,29.299737858994007
4,7136.0,1296929.0,15,41,8,7.698609016104864,36.998346875098875
5,7126.0,1105069.0,10,32,7,6.559722364769378,43.55806923986825
6,7118.0,1082123.0,16,31,9,6.423514228099182,49.98158346796743
7,7121.0,797343.0,13,23,9,4.7330517003846015,54.71463516835203
8,7140.0,737001.0,10,17,8,4.374859798399373,59.0894949667514
9,7167.0,712610.0,14,23,8,4.2300740988646925,63.31956906561609
10,7146.0,687517.0,8,22,6,4.0811213065058825,67.40069037212197
11,7138.0,673481.0,12,26,6,3.997803194141946,71.39849356626392
12,7139.0,652626.0,9,17,7,3.8740072954991773,75.2725008617631
13,7128.0,579099.0,9,18,7,3.437548842394079,78.71004970415719
14,7135.0,566693.0,9,17,8,3.3639064583824667,82.07395616253966
15,7125.0,554264.0,10,16,5,3.2901275456885815,85.36408370822824
16,7131.0,489295.0,10,13,6,2.9044696344480148,88.26855334267626
17,7110.0,473515.0,6,17,4,2.8107990863500585,91.07935242902632
18,7155.0,410269.0,5,11,4,2.4353689542205674,93.51472138324688
19,7129.0,400437.0,7,13,5,2.3770059105640966,95.89172729381097
20,7114.0,353034.0,5,11,4,2.095620296401395,97.98734759021237
21,7111.0,339057.0,8,13,7,2.012652409787634,100.0
